SubDiv,Year,Annual,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Jan-Feb,Mar-May,Jun-Sept,Oct-Dec
ORISSA,2002,1102.8,11.7,0.2,13.1,25.1,67.5,182.4,170.2,371.2,206.5,47.1,7.8,0,11.9,105.7,930.2,54.9
ORISSA,2003,1648.2,0.1,16.2,21.6,24.7,22.6,178.9,367.5,425.1,264.3,287.4,11,28.8,16.3,68.9,1235.7,327.3
ORISSA,2004,1290.4,6.8,8,6.4,49.2,29.7,216.4,328,346.4,148.1,149.6,1.8,0,14.8,85.3,1038.9,151.4
ORISSA,2005,1503.4,29.4,4,24.3,20.9,44.9,199.4,410.3,201,342.8,206.9,12.4,7.1,33.4,90.1,1153.5,226.4
ORISSA,2006,1716.9,0.2,0,29.9,25,105.6,175.2,454,624.9,254.7,26.4,21,0,0.2,160.5,1508.8,47.4
ORISSA,2007,1633.8,0.7,32.5,8,21,62.8,321,285.1,420.6,401.7,66.4,14,0,33.2,91.8,1428.4,80.4
ORISSA,2008,1538.9,27.5,10.4,17.5,28.2,37.4,343.5,306.4,388.3,355,22.1,2.7,0,37.9,83.1,1393.2,24.8
ORISSA,2009,1330.3,1.9,0.5,2.7,1.1,68.2,87.3,586,286.9,162.5,105.8,27.3,0.1,2.4,72,1122.7,133.2
ORISSA,2010,1291.9,8.8,1.2,5.6,7.8,93,146.4,304.9,282.7,236,133,35.6,37.2,9.9,106.4,969.9,205.7
ORISSA,2011,1346.2,3.7,16.2,4.9,58.2,75.6,210.1,199.6,358.6,398.7,20.2,0.1,0.4,19.8,138.7,1167,20.7
ORISSA,2012,1405.9,50.8,3.6,0.9,34.8,21.3,169.6,324.3,417,242.4,66,72.1,3.1,54.4,57,1153.3,141.3
ORISSA,2013,1632.4,3.3,7.8,2.1,53.6,57.7,272.6,380,254.9,208.1,391,1.2,0,11.2,113.4,1115.6,392.2
ORISSA,2014,1536.9,0,17.6,25.1,11.7,111.9,92.2,496.2,386.3,281.1,111.8,2.2,0.9,17.7,148.7,1255.7,114.8
ORISSA,2015,1210.1,15.1,3.3,10.5,67.6,32.6,238.6,294.8,264,237,24.7,6.2,15.6,18.4,110.7,1034.5,46.5
UTTARAKHAND,1990,1564.9,0.8,97.1,91.3,20.4,81.6,120.3,473,413.6,179.1,14.6,6.1,67.1,97.9,193.3,1185.8,87.8
UTTARAKHAND,1991,1020.7,13.2,58,52,51.6,21.2,81.8,219.8,346.7,126.4,0.5,10.1,39.4,71.2,124.8,774.6,50.1
UTTARAKHAND,1992,1108.1,71.3,32.5,46.1,2.9,31.5,117.5,254.4,385.1,152.4,9,5.4,0,103.8,80.5,909.4,14.5
UTTARAKHAND,1993,1594.1,77.1,70.3,162.8,19.8,71.7,144.7,309.4,282.3,447,1.5,7.4,0,147.3,254.4,1183.5,8.8
UTTARAKHAND,1994,1441.7,56.7,84.2,11,69.8,75.6,112.1,476.9,428.2,98,5.3,1.7,22.3,140.9,156.4,1115.1,29.3
UTTARAKHAND,1995,1616.1,98.9,123.6,79.9,41.4,34.6,138.5,358.3,430.7,282.8,5.1,2.1,20.2,222.6,155.8,1210.2,27.5
UTTARAKHAND,1996,1401.4,49.7,89.6,67.1,28.4,18.3,181.6,308.1,441.1,185.6,31.4,0.5,0,139.4,113.8,1116.4,31.9
UTTARAKHAND,1997,803.4,42.1,14.9,31.2,90.5,56.1,129.8,290,73.3,36.4,9.9,10.8,18.5,57,177.9,529.5,39.1
UTTARAKHAND,1998,1198.6,9.6,68.4,106.2,73,78.5,163.3,242.9,260,120,75.5,1.2,0,78,257.7,786.2,76.7
UTTARAKHAND,1999,1185.5,33,11.4,1.4,1.2,50.5,158.9,389,285.5,217.9,32,0.1,4.7,44.4,53.1,1051.2,36.8
UTTARAKHAND,2000,1712.9,29.9,69.4,37.9,18.1,83.3,313.9,420.1,536.1,195.3,1.1,7,0.7,99.3,139.4,1465.4,8.8
UTTARAKHAND,2001,1544.4,22.7,27.9,83.4,48.2,109.1,297.3,493,371.7,68.3,6.3,1.4,15.1,50.6,240.7,1230.3,22.9
UTTARAKHAND,2002,1574.7,53.8,123.2,100,76.3,82.3,139.6,205.7,465.4,301.3,19.9,3,4.2,177,258.5,1112.1,27.1
UTTARAKHAND,2003,1734.3,40.7,126,99.7,54.1,67.1,145.2,515.3,416.2,239.9,1.8,4.8,23.6,166.7,220.9,1316.6,30.2
UTTARAKHAND,2004,1219.6,58.5,11.7,0,51.5,66,130.7,400.9,326.3,96.8,70.7,0.8,5.7,70.2,117.6,954.7,77.1
UTTARAKHAND,2005,1348.2,64.1,83.2,54.2,12.8,52.1,74,400.1,249.2,337.9,14.1,2.2,4.3,147.3,119.1,1061.3,20.5
UTTARAKHAND,2006,1178.9,48.7,9.6,71.7,52.2,120.5,104.2,345.6,294.7,79.1,18.8,6.8,27,58.3,244.4,823.7,52.6
UTTARAKHAND,2007,1924.3,1.7,138.9,123.1,41.1,78.8,139.9,522.9,502.8,325.6,25.1,7.8,16.7,140.6,243,1491.2,49.6
UTTARAKHAND,2008,1363.7,55.6,11.7,18.1,93,67.3,332.4,313.3,245.8,190.8,23.1,11.9,0.6,67.3,178.4,1082.3,35.7
UTTARAKHAND,2009,847.8,1.8,27.6,18.8,18.4,77.6,41.9,157.5,202.6,206.6,81.3,12.6,0.9,29.4,114.8,608.7,94.9
UTTARAKHAND,2010,1424,11.4,62.1,3.8,13.8,47,72.7,455.8,335.7,389.7,8,4.5,19.5,73.6,64.5,1253.9,32
UTTARAKHAND,2011,1564.7,30.9,65.2,18,30.9,84.2,223.1,433.3,523.7,148.4,3.4,1.2,2.3,96.1,133.1,1328.5,6.9
UTTARAKHAND,2012,1223.9,38.8,11.9,28.1,39.2,9.1,46,387.1,419.5,220.6,4.7,3.4,15.5,50.8,76.4,1073.1,23.6
UTTARAKHAND,2013,1735.4,73,188.3,22,24.7,18.2,488.9,413.4,359.4,111.3,29.1,3.2,3.8,261.3,65,1373,36.2
UTTARAKHAND,2014,1287.4,45.9,99.9,68.4,37.6,52.9,62.9,462.7,264.2,107.9,40.8,0,44.3,145.8,158.8,897.7,85.1
